state,year,abortionratetotal,unemployment_rate,data.rates.violent.all,gdp,policy_score,sex_and_age_18_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_male,sex_and_age_female,educational_attainment_high_school_graduate_or_higher,educational_attainment_bachelors_degree_or_higher,income_in_the_past_12_months_in_2010_inflation_adjusted_dollars_median_household_income_dollars,total_number_of_races_reported_one_race,total_number_of_races_reported_two_races,total_number_of_races_reported_three_races
MO,2017,8.4,3.8,530.3,311273.8,-3.0,9.4,13.3,11.9,12.7,,,89.7,29.1,,,,
MO,2018,8.5,3.2,502.1,320451.6,-3.0,,,,,,,,,,,,
MO,2019,8.6,3.2,495.0,334750.2,-3.0,,,,,,,,,,,,
MO,2020,9.9,6.1,,335970.8,-3.0,,,,,,,,,,,,
MT,1988,13.2,6.6,123.0,,3.0,,,,,,,,,,,,
MT,1992,15.7,6.7,169.9,,3.0,,,,,,,,,,,,
MT,1996,12.8,5.5,161.0,,3.0,,,,,,,,,,,,
MT,2000,12.0,4.8,311.1,21935.4,3.0,,,,,,,,,,,,
MT,2005,11.2,4.1,282.0,30823.7,3.0,,,,,,,,,,,,
MT,2006,11.4,3.4,377.3,33088.0,3.0,,,,,,,,,,,,
MT,2007,11.7,3.4,379.8,36116.1,3.0,,,,,,,,,,,,
MT,2008,11.3,4.7,311.4,37028.0,3.0,,,,,,,,,,,,
MT,2009,11.1,7.1,287.0,35880.0,3.0,,,,,,,,,,,,
MT,2010,11.0,7.2,275.8,38080.3,3.0,9.6,12.2,11.5,15.1,50.4,49.6,91.7,28.8,42666.0,97.6,2.2,0.2
MT,2011,11.0,6.6,276.1,40592.3,3.0,9.9,12.5,11.1,14.5,50.1,49.9,92.3,28.2,,97.6,2.2,0.2
MT,2012,10.0,5.8,272.2,42150.2,3.0,9.8,12.3,11.4,14.1,50.1,49.9,92.8,29.4,,97.4,2.4,0.1
MT,2013,9.0,5.3,252.9,43584.0,3.0,10.0,12.5,11.3,13.2,,,92.7,29.0,,,,
MT,2014,8.2,4.6,323.7,45203.8,3.0,10.1,12.5,11.2,12.8,,,92.6,29.3,,,,
MT,2015,8.2,4.3,349.6,46542.4,3.0,9.7,12.5,11.5,12.5,,,93.5,30.6,,,,
MT,2016,8.1,4.3,368.3,45859.4,3.0,9.7,12.2,11.5,12.3,,,92.8,31.0,,,,
MT,2017,7.9,4.1,377.1,48470.5,3.0,9.2,12.6,11.9,11.7,,,93.0,32.3,,,,
MT,2018,7.7,3.7,374.1,51152.1,3.0,,,,,,,,,,,,
MT,2019,7.5,3.5,404.9,52715.6,3.0,,,,,,,,,,,,
MT,2020,7.6,5.8,,53057.3,3.0,,,,,,,,,,,,
NE,1988,15.5,3.5,273.2,,-2.0,,,,,,,,,,,,
NE,1992,13.8,2.8,348.6,,-2.0,,,,,,,,,,,,
NE,1996,10.7,2.7,434.7,,-2.0,,,,,,,,,,,,
NE,2000,10.7,2.8,327.6,56582.7,-2.0,,,,,,,,,,,,
NE,2005,8.4,3.8,287.0,74886.7,-2.0,,,,,,,,,,,,
NE,2006,7.6,3.1,293.9,79287.5,-2.0,,,,,,,,,,,,
NE,2007,7.1,3.0,311.3,84291.9,-2.0,,,,,,,,,,,,
NE,2008,8.1,3.2,312.3,86146.6,-2.0,,,,,,,,,,,,
NE,2009,7.4,4.6,289.4,87325.5,-2.0,,,,,,,,,,,,
NE,2010,6.8,4.7,278.3,91940.7,-2.0,10.1,13.2,12.2,14.1,49.5,50.5,90.4,28.6,48408.0,97.8,1.9,0.3
NE,2011,7.1,4.4,253.6,100526.5,-2.0,10.1,13.3,12.0,13.9,49.5,50.5,91.0,27.9,,97.8,2.1,0.1
NE,2012,7.0,3.9,259.4,102949.7,-2.0,10.0,13.4,12.0,13.5,49.7,50.3,90.5,29.0,,97.9,1.9,0.1
NE,2013,6.8,3.7,262.1,107247.0,-2.0,10.1,13.4,12.0,13.1,,,90.2,29.4,,,,
NE,2014,6.5,3.2,280.4,112763.3,-2.0,10.0,13.5,12.1,12.6,,,90.3,29.5,,,,
NE,2015,6.2,3.0,274.9,117402.3,-2.0,10.2,13.3,12.3,12.2,,,91.0,30.2,,,,
NE,2016,5.9,3.1,291.0,119389.8,-2.0,9.9,13.4,12.2,12.0,,,90.9,31.4,,,,
NE,2017,6.1,3.0,305.9,123219.9,-2.0,9.7,13.5,12.3,11.7,,,91.3,31.7,,,,
NE,2018,5.8,2.9,284.8,127954.4,-2.0,,,,,,,,,,,,
NE,2019,5.5,3.1,300.9,132848.2,-2.0,,,,,,,,,,,,
NE,2020,5.4,4.3,,135014.5,-2.0,,,,,,,,,,,,
NV,1988,37.2,5.2,780.7,,0.0,,,,,,,,,,,,
NV,1992,40.4,6.8,696.8,,0.0,,,,,,,,,,,,
NV,1996,38.4,5.1,811.3,,0.0,,,,,,,,,,,,
NV,2000,30.1,4.2,524.2,77181.5,0.0,,,,,,,,,,,,
NV,2005,25.8,4.2,608.0,117165.1,0.0,,,,,,,,,,,,
NV,2006,25.5,4.1,748.8,126613.4,0.0,,,,,,,,,,,,
NV,2007,25.3,4.8,754.9,132045.4,0.0,,,,,,,,,,,,
NV,2008,23.8,6.9,729.7,130570.9,0.0,,,,,,,,,,,,
NV,2009,23.3,11.1,705.2,122471.2,0.0,,,,,,,,,,,,
NV,2010,22.9,13.3,663.0,125149.0,0.0,9.3,14.3,14.2,13.8,50.5,49.5,84.7,21.7,51001.0,96.1,3.4,0.5
NV,2011,21.8,13.0,568.1,128638.4,0.0,9.2,14.2,14.0,13.8,50.4,49.6,84.0,22.5,,96.1,3.6,0.2
NV,2012,19.5,11.5,607.6,130238.2,0.0,9.2,14.3,13.8,13.6,50.4,49.6,84.9,22.4,,95.9,3.8,0.4
NV,2013,17.2,10.0,603.0,133592.5,0.0,9.2,14.3,13.6,13.6,,,85.2,22.5,,,,
NV,2014,19.3,8.2,635.6,136918.4,0.0,9.1,14.3,13.5,13.5,,,85.1,23.1,,,,
NV,2015,17.9,6.9,695.9,145786.8,0.0,8.8,14.2,13.4,13.5,,,85.6,23.6,,,,
NV,2016,16.5,5.8,678.1,153318.0,0.0,8.6,14.4,13.3,13.3,,,86.0,23.5,,,,
NV,2017,16.6,5.0,555.9,163199.1,0.0,8.4,14.5,13.3,13.2,,,86.8,24.9,,,,
NV,2018,16.7,4.4,541.1,172547.9,0.0,,,,,,,,,,,,
NV,2019,16.7,4.1,493.8,184611.1,0.0,,,,,,,,,,,,
NV,2020,17.7,13.5,,176178.7,0.0,,,,,,,,,,,,
NH,1988,21.9,2.4,147.9,,0.0,,,,,,,,,,,,
NH,1992,16.9,7.3,125.7,,0.0,,,,,,,,,,,,
NH,1996,17.5,3.8,118.2,,0.0,,,,,,,,,,,,
NH,2000,14.9,2.7,175.4,45604.9,0.0,,,,,,,,,,,,
NH,2005,11.5,3.6,135.0,56914.6,0.0,,,,,,,,,,,,
NH,2006,11.4,3.5,138.8,60152.7,0.0,,,,,,,,,,,,
NH,2007,11.5,3.5,144.1,61984.8,0.0,,,,,,,,,,,,
NH,2008,11.1,3.8,156.1,62095.3,0.0,,,,,,,,,,,,
NH,2009,11.2,6.1,160.4,63052.2,0.0,,,,,,,,,,,,
NH,2010,11.4,6.1,167.4,65310.8,0.0,9.4,10.9,13.6,17.1,49.2,50.8,91.5,32.8,61042.0,98.4,1.5,0.1
NH,2011,11.6,5.5,217.3,66557.3,0.0,9.4,11.1,13.2,16.9,49.4,50.6,91.4,33.4,,98.3,1.6,0.1
NH,2012,10.6,5.5,187.9,68412.0,0.0,9.5,11.2,12.8,16.6,49.1,50.9,91.8,34.6,,98.2,1.6,0.2
NH,2013,9.6,5.2,215.3,70897.4,0.0,9.7,11.3,12.3,16.3,,,92.8,34.6,,,,
NH,2014,10.3,4.3,196.1,73455.1,0.0,9.7,11.7,12.0,15.8,,,92.2,35.0,,,,
NH,2015,10.2,3.4,199.3,77385.8,0.0,9.8,11.7,11.8,15.4,,,93.1,35.7,,,,
NH,2016,9.9,2.9,197.6,79759.7,0.0,9.5,12.0,11.4,15.2,,,92.8,36.6,,,,
NH,2017,9.6,2.8,198.7,81179.6,0.0,9.4,12.2,11.3,14.6,,,93.1,36.9,,,,
NH,2018,9.6,2.6,173.2,83859.4,0.0,,,,,,,,,,,,
NH,2019,9.6,2.6,152.5,87868.2,0.0,,,,,,,,,,,,
NH,2020,8.7,6.7,,89041.6,0.0,,,,,,,,,,,,
NJ,1988,36.0,3.8,582.8,,2.0,,,,,,,,,,,,
NJ,1992,32.1,8.5,625.8,,2.0,,,,,,,,,,,,
NJ,1996,35.4,6.1,531.5,,2.0,,,,,,,,,,,,
NJ,2000,36.4,3.7,383.8,360530.4,2.0,,,,,,,,,,,,
NJ,2005,33.8,4.4,355.0,436064.4,2.0,,,,,,,,,,,,
NJ,2006,32.7,4.7,350.2,457681.5,2.0,,,,,,,,,,,,
NJ,2007,31.6,4.2,328.6,474539.6,2.0,,,,,,,,,,,,
NJ,2008,31.2,5.4,326.5,493289.4,2.0,,,,,,,,,,,,
NJ,2009,29.8,8.9,311.4,481452.7,2.0,,,,,,,,,,,,
NJ,2010,28.3,9.7,307.5,491229.0,2.0,8.7,12.6,14.1,15.7,48.7,51.3,88.0,35.4,67681.0,97.4,2.4,0.2
NJ,2011,27.0,9.4,307.9,494292.8,2.0,8.8,12.7,13.8,15.6,48.7,51.3,88.1,35.3,,97.5,2.3,0.2
NJ,2012,26.0,9.4,290.2,516098.2,2.0,8.9,12.7,13.5,15.4,48.7,51.3,88.3,36.2,,97.5,2.3,0.2
NJ,2013,25.4,8.4,288.5,534212.1,2.0,8.9,12.8,13.3,15.2,,,88.5,36.6,,,,
NJ,2014,25.9,6.7,261.2,543824.1,2.0,8.9,12.8,13.2,15.0,,,89.1,37.4,,,,
NJ,2015,27.0,5.7,255.4,565807.7,2.0,8.8,12.9,13.0,14.8,,,89.1,37.6,,,,
NJ,2016,28.2,4.9,245.0,578651.4,2.0,8.8,12.9,12.9,14.5,,,89.3,38.6,,,,
NJ,2017,28.0,4.5,228.8,590086.7,2.0,8.8,12.9,12.9,14.2,,,89.9,39.7,,,,
NJ,2018,28.3,4.0,208.1,619340.2,2.0,,,,,,,,,,,,
NJ,2019,28.6,3.5,206.9,643317.7,2.0,,,,,,,,,,,,
NJ,2020,28.9,9.5,,632562.3,2.0,,,,,,,,,,,,
NM,1988,23.4,7.6,658.1,,3.0,,,,,,,,,,,,
NM,1992,21.4,7.3,934.9,,3.0,,,,,,,,,,,,
NM,1996,16.8,7.6,840.6,,3.0,,,,,,,,,,,,
NM,2000,17.6,5.0,757.9,55002.2,3.0,,,,,,,,,,,,
NM,2005,16.9,5.2,646.0,74130.9,3.0,,,,,,,,,,,,
NM,2006,17.7,4.2,654.7,78008.2,3.0,,,,,,,,,,,,
NM,2007,18.5,3.6,675.7,81100.3,3.0,,,,,,,,,,,,
NM,2008,17.0,4.4,653.5,84339.7,3.0,,,,,,,,,,,,
NM,2009,16.2,7.1,632.4,82641.3,3.0,,,,,,,,,,,,
NM,2010,15.3,7.8,588.0,84862.6,3.0,10.0,12.8,12.2,14.1,49.4,50.6,83.3,25.0,42090.0,97.1,2.7,0.2
NM,2011,13.8,7.2,572.7,87056.0,3.0,10.1,13.2,11.8,13.7,49.8,50.2,83.2,25.6,,96.9,2.9,0.2
NM,2012,12.1,6.9,559.1,87681.0,3.0,10.0,13.2,11.9,13.3,49.6,50.4,84.4,26.1,,96.8,3.0,0.1
NM,2013,10.4,6.9,613.0,88773.3,3.0,10.3,13.0,11.9,12.9,,,84.3,26.4,,,,
NM,2014,10.1,6.6,597.4,92523.4,3.0,10.1,13.2,11.8,12.7,,,84.2,26.4,,,,
NM,2015,10.3,6.6,656.1,90779.4,3.0,10.0,13.1,11.8,12.3,,,84.6,26.5,,,,
NM,2016,10.6,6.8,702.5,90476.0,3.0,9.6,13.3,12.0,12.0,,,85.4,27.2,,,,
NM,2017,9.7,6.1,783.5,93210.1,3.0,9.9,13.1,12.0,11.5,,,86.1,27.1,,,,
NM,2018,9.5,4.9,856.6,98838.2,3.0,,,,,,,,,,,,
NM,2019,9.4,5.0,832.2,103821.0,3.0,,,,,,,,,,,,
NM,2020,9.9,7.9,,101035.5,3.0,,,,,,,,,,,,
NY,1988,41.5,4.2,1097.3,,1.0,,,,,,,,,,,,
NY,1992,44.6,8.7,1122.1,,1.0,,,,,,,,,,,,
NY,1996,38.8,6.2,727.0,,1.0,,,,,,,,,,,,
NY,2000,38.3,4.5,553.9,839853.0,1.0,,,,,,,,,,,,
NY,2005,37.0,5.0,444.0,1009851.0,1.0,,,,,,,,,,,,
NY,2006,36.2,4.5,435.2,1072271.8,1.0,,,,,,,,,,,,
NY,2007,35.5,4.4,414.4,1116265.3,1.0,,,,,,,,,,,,
NY,2008,36.7,5.4,397.9,1107860.2,1.0,,,,,,,,,,,,
NY,2009,35.6,8.4,384.4,1155492.3,1.0,,,,,,,,,,,,
NY,2010,34.5,8.7,394.4,1217748.0,1.0,10.3,13.7,13.5,14.8,48.4,51.6,84.9,32.5,54148.0,97.4,2.5,0.2
NY,2011,33.7,8.4,397.2,1245769.4,1.0,10.2,13.9,13.2,14.7,48.5,51.5,85.0,32.9,,97.3,2.5,0.2
NY,2012,31.4,8.6,406.8,1324471.3,1.0,10.2,14.1,13.0,14.5,48.5,51.5,85.3,33.4,,97.3,2.5,0.2
NY,2013,29.0,7.8,393.7,1364632.9,1.0,10.1,14.2,12.8,14.3,,,85.6,34.1,,,,
NY,2014,29.3,6.3,381.8,1434606.3,1.0,10.0,14.4,12.7,14.1,,,85.7,34.5,,,,
NY,2015,28.5,5.2,379.7,1498474.7,1.0,9.8,14.5,12.6,13.9,,,86.0,35.0,,,,
NY,2016,27.4,4.9,376.2,1556830.0,1.0,9.7,14.6,12.5,13.7,,,86.3,35.7,,,,
NY,2017,26.3,4.6,356.7,1624800.7,1.0,9.4,14.7,12.5,13.4,,,86.6,36.0,,,,
NY,2018,27.9,4.1,350.5,1710665.6,1.0,,,,,,,,,,,,
NY,2019,29.5,3.9,358.6,1787470.9,1.0,,,,,,,,,,,,
NY,2020,27.6,9.8,,1782502.4,1.0,,,,,,,,,,,,
NC,1988,24.2,3.7,501.9,,-2.0,,,,,,,,,,,,
NC,1992,20.9,6.3,681.0,,-2.0,,,,,,,,,,,,
NC,1996,18.0,4.4,588.1,,-2.0,,,,,,,,,,,,
NC,2000,18.8,3.8,497.6,277556.1,-2.0,,,,,,,,,,,,
NC,2005,16.1,5.2,469.0,354798.5,-2.0,,,,,,,,,,,,
NC,2006,16.0,4.7,475.2,388012.1,-2.0,,,,,,,,,,,,
NC,2007,15.8,4.7,466.1,402188.3,-2.0,,,,,,,,,,,,
NC,2008,15.0,5.9,467.6,420707.2,-2.0,,,,,,,,,,,,
NC,2009,14.6,10.8,404.5,413096.8,-2.0,,,,,,,,,,,,
NC,2010,14.2,10.8,362.7,422282.2,-2.0,10.0,13.0,14.0,14.2,48.7,51.3,84.7,26.5,43326.0,97.7,2.1,0.2
NC,2011,12.8,10.4,346.3,430040.1,-2.0,10.0,12.9,13.7,14.2,48.5,51.5,84.7,26.9,,97.9,1.9,0.2
NC,2012,13.2,9.6,353.4,444063.2,-2.0,10.0,12.8,13.6,14.0,48.7,51.3,85.2,27.4,,97.7,2.1,0.2
NC,2013,13.6,7.8,342.2,460946.4,-2.0,10.1,12.9,13.4,13.7,,,85.7,28.4,,,,
NC,2014,13.3,6.1,329.5,482295.7,-2.0,10.0,12.9,13.3,13.7,,,86.4,28.7,,,,
NC,2015,12.5,5.7,347.0,508672.4,-2.0,9.9,12.9,13.1,13.6,,,86.6,29.4,,,,
NC,2016,11.6,5.1,372.2,528284.3,-2.0,9.6,13.0,12.9,13.7,,,87.3,30.4,,,,
NC,2017,12.4,4.5,363.7,546810.1,-2.0,9.5,13.2,12.7,13.5,,,87.8,31.3,,,,
NC,2018,12.2,4.0,377.6,568037.3,-2.0,,,,,,,,,,,,
NC,2019,12.0,3.9,371.8,592449.6,-2.0,,,,,,,,,,,,
NC,2020,13.0,7.2,,600226.9,-2.0,,,,,,,,,,,,
ND,1988,10.4,4.7,59.1,,-3.0,,,,,,,,,,,,
ND,1992,8.6,4.5,83.3,,-3.0,,,,,,,,,,,,
ND,1996,7.4,3.2,84.0,,-3.0,,,,,,,,,,,,
ND,2000,7.0,2.9,81.4,18115.1,-3.0,,,,,,,,,,,,
ND,2005,6.9,3.3,111.0,24572.0,-3.0,,,,,,,,,,,,
ND,2006,7.0,3.1,197.4,26406.5,-3.0,,,,,,,,,,,,
ND,2007,7.1,3.0,209.9,29044.6,-3.0,,,,,,,,,,,,
ND,2008,7.9,3.0,224.6,32027.7,-3.0,,,,,,,,,,,,
ND,2009,7.8,3.9,266.4,32310.4,-3.0,,,,,,,,,,,,
ND,2010,7.6,3.7,229.5,35651.8,-3.0,12.0,13.2,11.4,14.3,50.9,49.1,90.3,27.6,48670.0,98.0,1.9,0.1
ND,2011,7.1,3.3,248.1,41602.1,-3.0,12.4,13.7,11.0,13.8,50.3,49.7,90.7,26.3,,98.1,1.7,0.1
ND,2012,6.8,2.9,244.7,52079.1,-3.0,12.5,14.1,11.1,13.2,51.1,48.9,91.7,27.9,,98.0,2.0,0.0
ND,2013,6.4,2.9,270.1,54877.0,-3.0,13.1,14.1,11.2,12.6,,,91.5,27.1,,,,
ND,2014,7.1,2.7,265.1,61108.3,-3.0,12.6,14.6,11.1,12.3,,,92.2,27.4,,,,
ND,2015,6.7,2.8,239.4,56952.2,-3.0,12.4,15.1,11.4,11.7,,,92.5,29.1,,,,
ND,2016,6.6,3.0,251.1,52666.3,-3.0,11.7,15.3,11.4,11.5,,,92.4,29.6,,,,
ND,2017,6.6,2.6,281.3,56530.2,-3.0,11.4,15.1,11.8,10.9,,,92.9,30.7,,,,
ND,2018,6.5,2.4,280.6,60377.1,-3.0,,,,,,,,,,,,
ND,2019,6.4,2.2,284.6,60892.5,-3.0,,,,,,,,,,,,
ND,2020,6.4,5.0,,56321.4,-3.0,,,,,,,,,,,,
OH,1988,20.0,6.0,452.0,,-4.0,,,,,,,,,,,,
OH,1992,18.2,7.4,525.9,,-4.0,,,,,,,,,,,,
OH,1996,16.4,5.0,428.7,,-4.0,,,,,,,,,,,,
OH,2000,15.6,4.1,334.1,391032.3,-4.0,,,,,,,,,,,,
OH,2005,14.2,5.9,350.0,470179.5,-4.0,,,,,,,,,,,,
OH,2006,14.2,5.4,361.5,482904.0,-4.0,,,,,,,,,,,,
OH,2007,14.2,5.6,355.4,497600.1,-4.0,,,,,,,,,,,,
OH,2008,14.2,6.6,352.0,500916.4,-4.0,,,,,,,,,,,,
OH,2009,13.7,10.2,331.9,484407.1,-4.0,,,,,,,,,,,,
OH,2010,13.0,10.0,314.7,500274.2,-4.0,9.5,12.3,12.8,15.1,48.8,51.2,88.1,24.6,45090.0,97.9,1.9,0.2
OH,2011,12.6,8.8,305.2,525456.4,-4.0,9.6,12.3,12.6,14.8,48.9,51.1,88.3,24.7,,97.7,2.1,0.2
OH,2012,11.8,7.4,299.7,543035.4,-4.0,9.6,12.4,12.4,14.5,48.9,51.1,88.8,25.2,,97.7,2.1,0.2
OH,2013,11.0,7.4,286.2,566419.9,-4.0,9.7,12.5,12.2,14.1,,,89.0,26.1,,,,
OH,2014,10.5,5.8,284.9,597152.3,-4.0,9.5,12.7,12.2,13.8,,,89.4,26.6,,,,
OH,2015,9.9,5.0,291.9,615275.5,-4.0,9.4,12.8,12.1,13.6,,,89.7,26.8,,,,
OH,2016,9.4,5.0,300.3,627294.7,-4.0,9.3,12.9,11.9,13.3,,,90.0,27.5,,,,
OH,2017,9.4,4.9,297.5,652187.5,-4.0,9.2,13.1,11.9,13.0,,,90.3,28.0,,,,
OH,2018,9.4,4.5,279.9,672540.1,-4.0,,,,,,,,,,,,
OH,2019,9.5,4.1,293.2,702914.8,-4.0,,,,,,,,,,,,
OH,2020,9.9,8.2,,692938.3,-4.0,,,,,,,,,,,,
OK,1988,17.2,6.4,434.5,,-2.0,,,,,,,,,,,,
OK,1992,12.7,5.9,622.8,,-2.0,,,,,,,,,,,,
OK,1996,11.7,4.0,597.1,,-2.0,,,,,,,,,,,,
OK,2000,10.6,3.0,497.8,91645.7,-2.0,,,,,,,,,,,,
OK,2005,10.3,4.3,509.0,125961.4,-2.0,,,,,,,,,,,,
OK,2006,10.3,3.9,500.2,138352.3,-2.0,,,,,,,,,,,,
OK,2007,10.3,4.0,504.1,146582.4,-2.0,,,,,,,,,,,,
OK,2008,10.3,3.6,531.5,161609.0,-2.0,,,,,,,,,,,,
OK,2009,9.6,6.5,503.4,147332.4,-2.0,,,,,,,,,,,,
OK,2010,8.8,6.5,481.4,155267.5,-2.0,10.1,13.5,12.4,14.0,49.3,50.7,86.2,22.9,42072.0,92.1,7.6,0.3
OK,2011,7.9,5.6,457.5,167207.9,-2.0,10.2,13.5,12.3,13.6,49.5,50.5,86.3,23.8,,92.0,7.6,0.3
OK,2012,7.8,5.1,469.3,175361.2,-2.0,10.3,13.5,12.3,13.3,49.5,50.5,86.7,23.8,,92.3,7.4,0.3
OK,2013,7.6,5.1,441.2,184104.6,-2.0,10.3,13.6,12.3,12.8,,,86.7,23.8,,,,
OK,2014,6.8,4.3,406.0,197074.1,-2.0,10.2,13.6,12.3,12.6,,,87.3,24.2,,,,
OK,2015,6.2,4.3,422.0,187364.7,-2.0,10.0,13.7,12.3,12.3,,,87.3,24.6,,,,
OK,2016,5.9,4.6,449.8,182238.8,-2.0,9.9,13.7,12.2,12.3,,,87.8,25.2,,,,
OK,2017,6.2,4.0,456.2,192538.6,-2.0,9.7,13.7,12.4,11.9,,,88.1,25.5,,,,
OK,2018,8.5,3.3,466.1,204193.9,-2.0,,,,,,,,,,,,
OK,2019,10.8,3.1,431.8,205992.7,-2.0,,,,,,,,,,,,
OK,2020,10.7,6.3,,192222.0,-2.0,,,,,,,,,,,,
OR,1988,23.4,5.7,545.7,,2.0,,,,,,,,,,,,
OR,1992,21.7,7.3,510.2,,2.0,,,,,,,,,,,,
OR,1996,19.0,5.6,463.1,,2.0,,,,,,,,,,,,
OR,2000,21.1,5.2,350.7,117057.2,2.0,,,,,,,,,,,,
OR,2005,16.3,6.2,287.0,143556.3,2.0,,,,,,,,,,,,
OR,2006,16.5,5.4,284.6,153779.6,2.0,,,,,,,,,,,,
OR,2007,16.7,5.2,293.9,159676.2,2.0,,,,,,,,,,,,
OR,2008,15.7,6.3,261.4,164122.9,2.0,,,,,,,,,,,,
OR,2009,14.6,10.6,260.6,159330.4,2.0,,,,,,,,,,,,
OR,2010,13.6,10.6,251.4,163150.5,2.0,9.3,13.7,13.0,14.1,49.5,50.5,88.8,28.8,46560.0,96.4,3.3,0.2
OR,2011,13.2,9.5,249.3,169693.8,2.0,9.4,13.7,12.9,13.7,49.4,50.6,89.4,29.3,,96.5,3.2,0.3
OR,2012,12.1,8.7,247.6,173856.8,2.0,9.4,13.7,13.0,13.4,49.6,50.4,89.9,29.9,,96.0,3.7,0.3
OR,2013,11.2,7.8,254.0,178975.4,2.0,9.3,13.6,13.1,13.0,,,89.7,30.7,,,,
OR,2014,11.3,6.7,232.3,187837.6,2.0,9.2,13.6,13.1,12.8,,,89.7,30.8,,,,
OR,2015,11.4,5.5,259.8,200592.6,2.0,9.0,13.7,13.1,12.9,,,90.0,32.2,,,,
OR,2016,11.4,4.8,264.6,211782.4,2.0,9.0,14.0,13.0,12.6,,,90.3,32.7,,,,
OR,2017,11.0,4.1,281.8,225534.5,2.0,8.9,14.0,13.3,12.5,,,91.0,33.7,,,,
OR,2018,10.7,4.0,285.5,238466.9,2.0,,,,,,,,,,,,
OR,2019,10.5,3.7,284.4,248781.8,2.0,,,,,,,,,,,,
OR,2020,9.7,7.6,,250660.6,2.0,,,,,,,,,,,,
PA,1988,19.6,5.2,362.0,,-3.0,,,,,,,,,,,,
PA,1992,18.9,7.4,427.0,,-3.0,,,,,,,,,,,,
PA,1996,15.9,5.5,480.3,,-3.0,,,,,,,,,,,,
PA,2000,15.5,4.2,420.0,409330.2,-3.0,,,,,,,,,,,,
PA,2005,15.3,5.0,425.0,510763.9,-3.0,,,,,,,,,,,,
PA,2006,16.1,4.7,442.3,528771.2,-3.0,,,,,,,,,,,,
PA,2007,17.2,4.6,416.7,563238.6,-3.0,,,,,,,,,,,,
PA,2008,19.0,5.4,410.0,586886.6,-3.0,,,,,,,,,,,,
PA,2009,18.3,8.0,382.3,581219.9,-3.0,,,,,,,,,,,,
PA,2010,17.3,8.2,366.5,604629.6,-3.0,10.0,11.9,12.7,15.2,48.7,51.3,88.4,27.1,49288.0,98.1,1.8,0.1
PA,2011,16.1,7.7,362.4,623767.9,-3.0,9.9,12.1,12.4,15.1,48.8,51.2,88.6,27.0,,98.1,1.8,0.1
PA,2012,15.1,7.6,348.7,646434.3,-3.0,9.9,12.3,12.2,14.7,48.8,51.2,88.9,27.8,,97.9,1.9,0.1
PA,2013,14.3,7.1,335.4,670767.4,-3.0,9.8,12.5,12.0,14.4,,,89.2,28.7,,,,
PA,2014,14.2,6.0,314.1,695546.6,-3.0,9.6,12.8,11.9,14.1,,,89.4,29.0,,,,
PA,2015,14.4,5.4,315.1,716534.3,-3.0,9.5,12.9,11.7,13.9,,,89.7,29.7,,,,
PA,2016,14.6,5.3,316.4,733165.9,-3.0,9.3,13.1,11.6,13.6,,,90.1,30.8,,,,
PA,2017,14.2,5.0,313.3,754318.0,-3.0,9.2,13.1,11.6,13.3,,,90.6,31.4,,,,
PA,2018,13.9,4.4,306.0,780620.7,-3.0,,,,,,,,,,,,
PA,2019,13.7,4.3,306.4,802233.1,-3.0,,,,,,,,,,,,
PA,2020,14.7,8.8,,778297.2,-3.0,,,,,,,,,,,,
RI,1988,24.2,3.0,396.7,,-3.0,,,,,,,,,,,,
RI,1992,24.6,9.0,394.5,,-3.0,,,,,,,,,,,,
RI,1996,22.8,5.2,347.2,,-3.0,,,,,,,,,,,,
RI,2000,21.1,4.0,297.7,34608.5,-3.0,,,,,,,,,,,,
RI,2005,20.5,5.1,252.0,44413.3,-3.0,,,,,,,,,,,,
RI,2006,20.2,5.2,230.4,47165.3,-3.0,,,,,,,,,,,,
RI,2007,20.0,5.1,229.1,47490.1,-3.0,,,,,,,,,,,,
RI,2008,19.9,7.6,252.8,47138.9,-3.0,,,,,,,,,,,,
RI,2009,18.9,11.2,254.3,47647.2,-3.0,,,,,,,,,,,,
RI,2010,18.0,11.6,257.4,49409.1,-3.0,11.3,12.0,13.1,15.3,48.3,51.7,83.5,30.2,52254.0,97.3,2.5,0.3
RI,2011,17.3,11.1,246.1,50123.7,-3.0,11.4,12.3,12.8,15.1,48.4,51.6,84.8,31.1,,97.3,2.5,0.3
RI,2012,16.1,10.3,252.4,51527.5,-3.0,11.5,12.3,12.4,15.0,48.3,51.7,86.1,31.4,,97.2,2.5,0.3
RI,2013,14.8,9.5,257.2,52994.2,-3.0,11.3,12.8,12.1,14.7,,,85.9,32.4,,,,
RI,2014,15.3,7.8,219.2,54612.5,-3.0,11.1,13.1,12.0,14.5,,,85.8,30.4,,,,
RI,2015,15.7,6.0,242.5,56604.0,-3.0,10.8,13.5,11.7,14.1,,,87.7,32.7,,,,
RI,2016,16.0,5.2,238.9,57714.6,-3.0,10.8,13.5,11.6,13.9,,,88.5,34.1,,,,
RI,2017,15.8,4.5,232.2,58771.6,-3.0,10.9,13.8,11.6,13.5,,,88.3,33.5,,,,
RI,2018,15.3,4.0,219.1,60064.9,-3.0,,,,,,,,,,,,
RI,2019,14.5,3.5,221.1,62814.7,-3.0,,,,,,,,,,,,
